country,date,inflation_rate
China (People’s Republic of),2000-01-01,70.93649
China (People’s Republic of),2000-01-01,-0.2
China (People’s Republic of),2000-02-01,71.8595
China (People’s Republic of),2000-02-01,0.7
China (People’s Republic of),2000-03-01,70.86146
China (People’s Republic of),2000-03-01,-0.2
China (People’s Republic of),2000-04-01,70.4441
China (People’s Republic of),2000-04-01,-0.3
China (People’s Republic of),2000-05-01,70.02296
China (People’s Republic of),2000-05-01,0.1
China (People’s Republic of),2000-06-01,69.38737
China (People’s Republic of),2000-06-01,0.5
China (People’s Republic of),2000-07-01,68.97241
China (People’s Republic of),2000-07-01,0.5
China (People’s Republic of),2000-08-01,69.38317
China (People’s Republic of),2000-08-01,0.3
China (People’s Republic of),2000-09-01,70.77847
China (People’s Republic of),2000-09-01,0.0
China (People’s Republic of),2000-10-01,70.77827
China (People’s Republic of),2000-10-01,0.0
China (People’s Republic of),2000-11-01,70.99095
China (People’s Republic of),2000-11-01,1.3
China (People’s Republic of),2000-12-01,71.06194
China (People’s Republic of),2000-12-01,0.4
China (People’s Republic of),2001-01-01,71.78772
China (People’s Republic of),2001-01-01,1.2
China (People’s Republic of),2001-02-01,71.8595
China (People’s Republic of),2001-02-01,0.0
China (People’s Republic of),2001-03-01,71.42835
China (People’s Republic of),2001-03-01,0.8
China (People’s Republic of),2001-04-01,71.57121
China (People’s Republic of),2001-04-01,1.6
China (People’s Republic of),2001-05-01,71.21335
China (People’s Republic of),2001-05-01,1.7
China (People’s Republic of),2001-06-01,70.3588
China (People’s Republic of),2001-06-01,1.4
China (People’s Republic of),2001-07-01,70.007
China (People’s Republic of),2001-07-01,1.5
China (People’s Republic of),2001-08-01,70.077
China (People’s Republic of),2001-08-01,1.0
China (People’s Republic of),2001-09-01,70.7077
China (People’s Republic of),2001-09-01,-0.1
China (People’s Republic of),2001-10-01,70.91982
China (People’s Republic of),2001-10-01,0.2
China (People’s Republic of),2001-11-01,70.77798
China (People’s Republic of),2001-11-01,-0.3
China (People’s Republic of),2001-12-01,70.84876
China (People’s Republic of),2001-12-01,-0.3
China (People’s Republic of),2002-01-01,71.0613
China (People’s Republic of),2002-01-01,-1.0
China (People’s Republic of),2002-02-01,71.84298
China (People’s Republic of),2002-02-01,0.0
China (People’s Republic of),2002-03-01,70.90902
China (People’s Republic of),2002-03-01,-0.8
China (People’s Republic of),2002-04-01,70.6963
China (People’s Republic of),2002-04-01,-1.3
China (People’s Republic of),2002-05-01,70.48421
China (People’s Republic of),2002-05-01,-1.1
China (People’s Republic of),2002-06-01,69.84985
China (People’s Republic of),2002-06-01,-0.8
China (People’s Republic of),2002-07-01,69.3609
China (People’s Republic of),2002-07-01,-0.9
China (People’s Republic of),2002-08-01,69.56898
China (People’s Republic of),2002-08-01,-0.7
China (People’s Republic of),2002-09-01,70.26467
China (People’s Republic of),2002-09-01,-0.7
China (People’s Republic of),2002-10-01,70.4052
China (People’s Republic of),2002-10-01,-0.8
China (People’s Republic of),2002-11-01,70.33479
China (People’s Republic of),2002-11-01,-0.7
China (People’s Republic of),2002-12-01,70.5458
China (People’s Republic of),2002-12-01,-0.4
China (People’s Republic of),2003-01-01,71.3218
China (People’s Republic of),2003-01-01,0.4
China (People’s Republic of),2003-02-01,71.9637
China (People’s Republic of),2003-02-01,0.2
China (People’s Republic of),2003-03-01,71.53191
China (People’s Republic of),2003-03-01,0.9
China (People’s Republic of),2003-04-01,71.38885
China (People’s Republic of),2003-04-01,1.0
China (People’s Republic of),2003-05-01,70.88913
China (People’s Republic of),2003-05-01,0.7
China (People’s Republic of),2003-06-01,70.03846
China (People’s Republic of),2003-06-01,0.3
China (People’s Republic of),2003-07-01,69.68827
China (People’s Republic of),2003-07-01,0.5
China (People’s Republic of),2003-08-01,70.17609
China (People’s Republic of),2003-08-01,0.9
China (People’s Republic of),2003-09-01,71.0182
China (People’s Republic of),2003-09-01,1.1
China (People’s Republic of),2003-10-01,71.65736
China (People’s Republic of),2003-10-01,1.8
China (People’s Republic of),2003-11-01,72.37394
China (People’s Republic of),2003-11-01,3.0
China (People’s Republic of),2003-12-01,72.80818
China (People’s Republic of),2003-12-01,3.2
China (People’s Republic of),2004-01-01,73.60907
China (People’s Republic of),2004-01-01,3.2
China (People’s Republic of),2004-02-01,73.46185
China (People’s Republic of),2004-02-01,2.1
China (People’s Republic of),2004-03-01,73.68224
China (People’s Republic of),2004-03-01,3.0
China (People’s Republic of),2004-04-01,74.05065
China (People’s Republic of),2004-04-01,3.8
China (People’s Republic of),2004-05-01,73.9766
China (People’s Republic of),2004-05-01,4.4
China (People’s Republic of),2004-06-01,73.45876
China (People’s Republic of),2004-06-01,5.0
China (People’s Republic of),2004-07-01,73.31184
China (People’s Republic of),2004-07-01,5.3
China (People’s Republic of),2004-08-01,73.82503
China (People’s Republic of),2004-08-01,5.3
China (People’s Republic of),2004-09-01,74.6371
China (People’s Republic of),2004-09-01,5.2
China (People’s Republic of),2004-10-01,74.6371
China (People’s Republic of),2004-10-01,4.3
China (People’s Republic of),2004-11-01,74.41319
China (People’s Republic of),2004-11-01,2.8
China (People’s Republic of),2004-12-01,74.4876
China (People’s Republic of),2004-12-01,2.4
China (People’s Republic of),2005-01-01,74.93453
China (People’s Republic of),2005-01-01,1.9
China (People’s Republic of),2005-02-01,76.28336
China (People’s Republic of),2005-02-01,3.9
China (People’s Republic of),2005-03-01,75.5968
China (People’s Republic of),2005-03-01,2.7
China (People’s Republic of),2005-04-01,75.37001
China (People’s Republic of),2005-04-01,1.8
China (People’s Republic of),2005-05-01,75.21927
China (People’s Republic of),2005-05-01,1.8
China (People’s Republic of),2005-06-01,74.61752
China (People’s Republic of),2005-06-01,1.6
China (People’s Republic of),2005-07-01,74.61752
China (People’s Republic of),2005-07-01,1.8
China (People’s Republic of),2005-08-01,74.76675
China (People’s Republic of),2005-08-01,1.3
China (People’s Republic of),2005-09-01,75.29012
China (People’s Republic of),2005-09-01,0.9
China (People’s Republic of),2005-10-01,75.59128
China (People’s Republic of),2005-10-01,1.2
China (People’s Republic of),2005-11-01,75.36451
China (People’s Republic of),2005-11-01,1.3
China (People’s Republic of),2005-12-01,75.66596
China (People’s Republic of),2005-12-01,1.6
China (People’s Republic of),2006-01-01,76.64962
China (People’s Republic of),2006-01-01,1.9
China (People’s Republic of),2006-02-01,77.03287
China (People’s Republic of),2006-02-01,0.9
China (People’s Republic of),2006-03-01,76.33958
China (People’s Republic of),2006-03-01,0.8
China (People’s Republic of),2006-04-01,76.49226
China (People’s Republic of),2006-04-01,1.2
China (People’s Republic of),2006-05-01,76.41576
